tag	roc_auc	pr_auc
genre---60s	0.7592	0.0095
genre---70s	0.6745	0.0056
genre---80s	0.6268	0.0106
genre---90s	0.5614	0.0113
genre---acidjazz	0.7334	0.0117
genre---alternative	0.694	0.1566
genre---alternativerock	0.8107	0.0171
genre---ambient	0.7934	0.4165
genre---atmospheric	0.6984	0.0511
genre---blues	0.7668	0.0542
genre---bluesrock	0.792	0.0109
genre---bossanova	0.7962	0.0151
genre---breakbeat	0.7338	0.0177
genre---celtic	0.6817	0.0148
genre---chanson	0.8119	0.0322
genre---chillout	0.7379	0.1376
genre---choir	0.7731	0.0185
genre---classical	0.9093	0.5942
genre---classicrock	0.6866	0.0141
genre---club	0.8169	0.0408
genre---contemporary	0.7795	0.0178
genre---country	0.8238	0.0396
genre---dance	0.852	0.2445
genre---darkambient	0.8134	0.0605
genre---darkwave	0.6562	0.0114
genre---deephouse	0.8533	0.0422
genre---disco	0.7659	0.0237
genre---downtempo	0.7401	0.0581
genre---drumnbass	0.7994	0.0316
genre---dub	0.7366	0.0245
genre---dubstep	0.8362	0.0494
genre---easylistening	0.7	0.1619
genre---edm	0.8091	0.0189
genre---electronic	0.786	0.5876
genre---electronica	0.717	0.0155
genre---electropop	0.7032	0.0351
genre---ethno	0.6374	0.0136
genre---eurodance	0.8399	0.0304
genre---experimental	0.7209	0.2151
genre---folk	0.8542	0.2389
genre---funk	0.7737	0.0574
genre---fusion	0.6722	0.0167
genre---groove	0.7177	0.0091
genre---grunge	0.8958	0.0775
genre---hard	0.7959	0.0141
genre---hardrock	0.9142	0.0687
genre---hiphop	0.8967	0.4625
genre---house	0.8806	0.2708
genre---idm	0.7291	0.0156
genre---improvisation	0.6609	0.0165
genre---indie	0.8209	0.2047
genre---industrial	0.7938	0.0602
genre---instrumentalpop	0.6824	0.0565
genre---instrumentalrock	0.7963	0.0487
genre---jazz	0.7745	0.1612
genre---jazzfusion	0.6814	0.0093
genre---latin	0.7904	0.0422
genre---lounge	0.7354	0.0961
genre---medieval	0.6784	0.0067
genre---metal	0.8973	0.266
genre---minimal	0.6381	0.0179
genre---newage	0.7538	0.0887
genre---newwave	0.639	0.0078
genre---orchestral	0.8552	0.2886
genre---pop	0.7506	0.2846
genre---popfolk	0.8731	0.225
genre---poprock	0.8087	0.1152
genre---postrock	0.7493	0.0238
genre---progressive	0.6327	0.0308
genre---psychedelic	0.5835	0.0143
genre---punkrock	0.9127	0.1076
genre---rap	0.9094	0.3179
genre---reggae	0.8678	0.2015
genre---rnb	0.7967	0.0451
genre---rock	0.8839	0.5316
genre---rocknroll	0.8684	0.0382
genre---singersongwriter	0.881	0.134
genre---soul	0.7527	0.022
genre---soundtrack	0.7441	0.3447
genre---swing	0.7334	0.0115
genre---symphonic	0.8297	0.091
genre---synthpop	0.6877	0.0193
genre---techno	0.8301	0.1785
genre---trance	0.8675	0.1823
genre---triphop	0.761	0.0732
genre---world	0.6294	0.0511
genre---worldfusion	0.5763	0.0047
instrument---accordion	0.6742	0.0148
instrument---acousticbassguitar	0.5692	0.009
instrument---acousticguitar	0.73	0.094
instrument---bass	0.6943	0.187
instrument---beat	0.7675	0.0453
instrument---bell	0.5843	0.009
instrument---bongo	0.5912	0.0036
instrument---brass	0.5829	0.0085
instrument---cello	0.7082	0.0456
instrument---clarinet	0.6519	0.0075
instrument---classicalguitar	0.6506	0.0218
instrument---computer	0.6243	0.0622
instrument---doublebass	0.6786	0.0204
instrument---drummachine	0.6317	0.0462
instrument---drums	0.6781	0.1896
instrument---electricguitar	0.7173	0.1766
instrument---electricpiano	0.5696	0.0296
instrument---flute	0.6416	0.0252
instrument---guitar	0.6882	0.1329
instrument---harmonica	0.7097	0.0105
instrument---harp	0.7003	0.0223
instrument---horn	0.7129	0.0188
instrument---keyboard	0.6457	0.0816
instrument---oboe	0.6809	0.0158
instrument---orchestra	0.7684	0.041
instrument---organ	0.5378	0.0031
instrument---pad	0.731	0.0102
instrument---percussion	0.7296	0.1057
instrument---piano	0.7671	0.4731
instrument---pipeorgan	0.5439	0.0079
instrument---rhodes	0.6127	0.0087
instrument---sampler	0.6194	0.0223
instrument---saxophone	0.6359	0.0234
instrument---strings	0.7148	0.0523
instrument---synthesizer	0.6394	0.1878
instrument---trombone	0.5984	0.0093
instrument---trumpet	0.574	0.0141
instrument---viola	0.6873	0.0196
instrument---violin	0.67	0.0742
instrument---voice	0.688	0.0645
mood/theme---action	0.7334	0.0576
mood/theme---adventure	0.6204	0.0204
mood/theme---advertising	0.6825	0.0352
mood/theme---background	0.6501	0.0164
mood/theme---ballad	0.7437	0.0229
mood/theme---calm	0.685	0.0221
mood/theme---children	0.7744	0.0414
mood/theme---christmas	0.73	0.0494
mood/theme---commercial	0.6752	0.0188
mood/theme---cool	0.5529	0.0077
mood/theme---corporate	0.7913	0.0816
mood/theme---dark	0.6606	0.0389
mood/theme---deep	0.8368	0.1795
mood/theme---documentary	0.6639	0.0232
mood/theme---drama	0.7001	0.0134
mood/theme---dramatic	0.7189	0.0251
mood/theme---dream	0.6376	0.0312
mood/theme---emotional	0.6604	0.0502
mood/theme---energetic	0.6402	0.0402
mood/theme---epic	0.8244	0.1962
mood/theme---fast	0.7193	0.0092
mood/theme---film	0.7476	0.1015
mood/theme---fun	0.6432	0.0147
mood/theme---funny	0.5749	0.0063
mood/theme---game	0.6074	0.0079
mood/theme---groovy	0.7021	0.0058
mood/theme---happy	0.6807	0.0728
mood/theme---heavy	0.8527	0.0158
mood/theme---holiday	0.6409	0.0129
mood/theme---hopeful	0.6636	0.0129
mood/theme---inspiring	0.6639	0.033
mood/theme---love	0.6108	0.0305
mood/theme---meditative	0.7731	0.0551
mood/theme---melancholic	0.6379	0.0119
mood/theme---melodic	0.5393	0.024
mood/theme---motivational	0.741	0.049
mood/theme---movie	0.6014	0.0135
mood/theme---nature	0.6927	0.013
mood/theme---party	0.6883	0.0101
mood/theme---positive	0.7233	0.0349
mood/theme---powerful	0.6759	0.0126
mood/theme---relaxing	0.7389	0.0708
mood/theme---retro	0.5554	0.0057
mood/theme---romantic	0.6599	0.0259
mood/theme---sad	0.6241	0.0228
mood/theme---sexy	0.674	0.01
mood/theme---slow	0.5978	0.0081
mood/theme---soft	0.6606	0.0162
mood/theme---soundscape	0.7549	0.0313
mood/theme---space	0.7282	0.0205
mood/theme---sport	0.6699	0.0116
mood/theme---summer	0.841	0.1615
mood/theme---trailer	0.8952	0.1358
mood/theme---travel	0.589	0.0047
mood/theme---upbeat	0.6288	0.0111
mood/theme---uplifting	0.6094	0.0181
