tag	roc_auc	pr_auc
genre---alternative	0.705	0.1666
genre---ambient	0.7955	0.4271
genre---atmospheric	0.6934	0.0571
genre---chillout	0.7456	0.1439
genre---classical	0.917	0.618
genre---dance	0.8532	0.2479
genre---downtempo	0.7357	0.0578
genre---easylistening	0.7077	0.1719
genre---electronic	0.7937	0.6054
genre---electropop	0.7077	0.1676
genre---experimental	0.8338	0.2429
genre---folk	0.8064	0.1301
genre---hiphop	0.9054	0.4808
genre---house	0.8783	0.2573
genre---indie	0.8259	0.2227
genre---instrumentalpop	0.7043	0.0616
genre---jazz	0.7949	0.1967
genre---lounge	0.7468	0.1043
genre---metal	0.9027	0.2828
genre---newage	0.7587	0.0897
genre---orchestral	0.8531	0.2916
genre---pop	0.7608	0.3012
genre---popfolk	0.8718	0.2234
genre---poprock	0.8176	0.1214
genre---progressive	0.7906	0.1985
genre---reggae	0.8434	0.3733
genre---rock	0.8255	0.3968
genre---soundtrack	0.8015	0.2392
genre---techno	0.8386	0.1755
genre---trance	0.7929	0.117
genre---triphop	0.6872	0.0583
genre---world	0.7147	0.1253
instrument---acousticguitar	0.7062	0.1712
instrument---bass	0.6438	0.0828
instrument---computer	0.6473	0.0897
instrument---drummachine	0.7124	0.1794
instrument---drums	0.7103	0.1751
instrument---electricguitar	0.6648	0.1185
instrument---guitar	0.6787	0.1157
instrument---keyboard	0.7142	0.258
instrument---piano	0.7384	0.3498
instrument---sampler	0.6713	0.1034
instrument---synthesizer	0.6772	0.1299
instrument---violin	0.6859	0.063
instrument---voice	0.6596	0.0482
mood/theme---dark	0.6984	0.0937
mood/theme---energetic	0.6724	0.0617
mood/theme---film	0.6918	0.0764
mood/theme---happy	0.5734	0.036
mood/theme---relaxing	0.7357	0.068
