tag	roc_auc	pr_auc
instrument---accordion	0.6864	0.0308
instrument---acousticbassguitar	0.5973	0.0255
instrument---acousticguitar	0.7256	0.2023
instrument---bass	0.76	0.4405
instrument---beat	0.7488	0.0926
instrument---bell	0.5441	0.0179
instrument---bongo	0.6176	0.0092
instrument---brass	0.6449	0.0199
instrument---cello	0.6935	0.0887
instrument---clarinet	0.6607	0.0173
instrument---classicalguitar	0.6348	0.0487
instrument---computer	0.6597	0.1573
instrument---doublebass	0.6341	0.0289
instrument---drummachine	0.6584	0.114
instrument---drums	0.746	0.455
instrument---electricguitar	0.7587	0.3968
instrument---electricpiano	0.5602	0.0619
instrument---flute	0.6533	0.0566
instrument---guitar	0.7305	0.3128
instrument---harmonica	0.6894	0.0203
instrument---harp	0.6837	0.0436
instrument---horn	0.7062	0.0313
instrument---keyboard	0.689	0.1914
instrument---oboe	0.6985	0.0454
instrument---orchestra	0.7588	0.0973
instrument---organ	0.5616	0.0081
instrument---pad	0.6226	0.012
instrument---percussion	0.7701	0.2052
instrument---piano	0.7869	0.7063
instrument---pipeorgan	0.5808	0.0171
instrument---rhodes	0.6549	0.026
instrument---sampler	0.6782	0.0704
instrument---saxophone	0.6751	0.0596
instrument---strings	0.6939	0.1106
instrument---synthesizer	0.7261	0.4958
instrument---trombone	0.6198	0.0198
instrument---trumpet	0.6262	0.0341
instrument---viola	0.6688	0.0415
instrument---violin	0.6701	0.1566
instrument---voice	0.6961	0.1344
